,Date,Close/Last,Volume,Open,High,Low
234,2021-02-25,120.99,148199500,124.68,126.4585,120.54
235,2021-02-24,125.35,111039900,124.94,125.56,122.23
236,2021-02-23,125.86,158273000,123.76,126.71,118.39
237,2021-02-22,126.0,103916400,128.01,129.72,125.6
238,2021-02-19,129.87,87668830,130.24,130.71,128.8
239,2021-02-18,129.71,96856750,129.2,129.995,127.41
240,2021-02-17,130.84,98085250,131.25,132.22,129.47
241,2021-02-16,133.19,80576320,135.49,136.01,132.79
242,2021-02-12,135.37,60145130,134.35,135.53,133.6921
243,2021-02-11,135.13,64280030,135.9,136.39,133.77
244,2021-02-10,135.39,73046560,136.48,136.99,134.4
245,2021-02-09,136.01,76774210,136.62,137.877,135.85
246,2021-02-08,136.91,71297210,136.03,136.96,134.92
247,2021-02-05,136.76,75693830,137.35,137.42,135.86
248,2021-02-04,137.39,84183060,136.3,137.4,134.59
249,2021-02-03,133.94,89880940,135.76,135.77,133.61
250,2021-02-02,134.99,83305370,135.73,136.31,134.61
251,2021-02-01,134.14,106239800,133.75,135.38,130.93
252,2021-01-29,131.96,177523800,135.83,136.74,130.21
253,2021-01-28,137.09,142621100,139.52,141.99,136.7
254,2021-01-27,142.06,140843800,143.43,144.3,140.41
255,2021-01-26,143.16,98390560,143.6,144.3,141.37
256,2021-01-25,142.92,157611700,143.07,145.09,136.54
257,2021-01-22,139.07,114459400,136.28,139.85,135.02
258,2021-01-21,136.87,120529500,133.8,139.67,133.59
259,2021-01-20,132.03,104319500,128.66,132.49,128.55
260,2021-01-19,127.83,90757330,127.78,128.71,126.938
261,2021-01-15,127.14,111598500,128.78,130.2242,127.0
262,2021-01-14,128.91,90221760,130.8,131.0,128.76
263,2021-01-13,130.89,88636830,128.76,131.45,128.49
264,2021-01-12,128.8,91951150,128.5,129.69,126.86
265,2021-01-11,128.98,100620900,129.19,130.17,128.5
266,2021-01-08,132.05,105158200,132.43,132.63,130.23
267,2021-01-07,130.92,109578200,128.36,131.63,127.86
268,2021-01-06,126.6,155088000,127.72,131.0499,126.382
269,2021-01-05,131.01,97664900,128.89,131.74,128.43
270,2021-01-04,129.41,143301900,133.52,133.6116,126.76
271,2020-12-31,132.69,99116590,134.08,134.74,131.72
272,2020-12-30,133.72,96452120,135.58,135.99,133.4
273,2020-12-29,134.87,121047300,138.05,138.789,134.3409
274,2020-12-28,136.69,124486200,133.99,137.34,133.51
275,2020-12-24,131.97,54930060,131.32,133.46,131.1
276,2020-12-23,130.96,88223690,132.16,132.43,130.78
277,2020-12-22,131.88,169351800,131.61,134.405,129.65
278,2020-12-21,128.23,121251600,125.02,128.31,123.449
279,2020-12-18,126.655,192541500,128.96,129.1,126.12
280,2020-12-17,128.7,94359810,128.9,129.58,128.045
281,2020-12-16,127.81,98208590,127.41,128.37,126.56
282,2020-12-15,127.88,157572300,124.34,127.9,124.13
283,2020-12-14,121.78,79075990,122.6,123.35,121.54
284,2020-12-11,122.41,86939790,122.43,122.76,120.55
285,2020-12-10,123.24,81312170,120.5,123.87,120.15
286,2020-12-09,121.78,115089200,124.53,125.95,121.0
287,2020-12-08,124.38,82225510,124.37,124.98,123.09
288,2020-12-07,123.75,86711990,122.31,124.57,122.25
289,2020-12-04,122.25,78260420,122.6,122.8608,121.52
290,2020-12-03,122.94,78967630,123.52,123.78,122.21
291,2020-12-02,123.08,89004200,122.02,123.37,120.89
292,2020-12-01,122.72,128166800,121.01,123.4693,120.01
293,2020-11-30,119.05,169410200,116.97,120.97,116.81
294,2020-11-27,116.59,46691330,116.57,117.49,116.22
295,2020-11-25,116.03,76499230,115.55,116.75,115.17
296,2020-11-24,115.17,113874200,113.91,115.85,112.59
297,2020-11-23,113.85,127959300,117.18,117.6202,113.75
298,2020-11-20,117.34,73604290,118.64,118.77,117.29
299,2020-11-19,118.64,74112970,117.59,119.06,116.81
300,2020-11-18,118.03,76322110,118.61,119.82,118.0
301,2020-11-17,119.39,74270970,119.55,120.6741,118.96
302,2020-11-16,120.3,91183020,118.92,120.99,118.146
303,2020-11-13,119.26,81688590,119.44,119.6717,117.87
304,2020-11-12,119.21,103350700,119.62,120.53,118.57
305,2020-11-11,119.49,112295000,117.19,119.63,116.44
306,2020-11-10,115.97,138023400,115.55,117.59,114.13
307,2020-11-09,116.32,154515300,120.5,121.99,116.05
308,2020-11-06,118.69,114457900,118.32,119.2,116.13
309,2020-11-05,119.03,126387100,117.95,119.62,116.8686
310,2020-11-04,114.95,138235500,114.14,115.59,112.35
311,2020-11-03,110.44,107624400,109.66,111.49,108.73
312,2020-11-02,108.77,122866900,109.11,110.68,107.32
313,2020-10-30,108.86,190573500,111.06,111.99,107.72
314,2020-10-29,115.32,146129200,112.37,116.93,112.2
315,2020-10-28,111.2,143937800,115.05,115.43,111.1
316,2020-10-27,116.6,92276770,115.49,117.28,114.5399
317,2020-10-26,115.05,111850700,114.01,116.55,112.88
318,2020-10-23,115.04,82572650,116.39,116.55,114.28
319,2020-10-22,115.75,101988000,117.45,118.04,114.59
320,2020-10-21,116.87,89945980,116.67,118.705,116.45
321,2020-10-20,117.51,124423700,116.2,118.98,115.63
322,2020-10-19,115.98,120639300,119.96,120.419,115.66
323,2020-10-16,119.02,115393800,121.28,121.548,118.81
324,2020-10-15,120.71,112559200,118.72,121.2,118.15
325,2020-10-14,121.19,151062300,121.0,123.03,119.62
326,2020-10-13,121.1,262330500,125.27,125.39,119.65
327,2020-10-12,124.4,240226800,120.06,125.18,119.2845
328,2020-10-09,116.97,100506900,115.28,117.0,114.92
329,2020-10-08,114.97,83477150,116.25,116.4,114.5901
330,2020-10-07,115.08,96848990,114.62,115.55,114.13
331,2020-10-06,113.16,161498200,115.7,116.12,112.25
332,2020-10-05,116.5,106243800,113.91,116.65,113.55
333,2020-10-02,113.02,144712000,112.89,115.37,112.22
334,2020-10-01,116.79,116120400,117.64,117.72,115.83
335,2020-09-30,115.81,142675200,113.79,117.26,113.62
336,2020-09-29,114.09,100060500,114.55,115.31,113.57
337,2020-09-28,114.96,137672400,115.01,115.32,112.78
338,2020-09-25,112.28,149981400,108.43,112.44,107.67
339,2020-09-24,108.22,167743300,105.17,110.25,105.0
340,2020-09-23,107.12,150718700,111.62,112.11,106.77
341,2020-09-22,111.81,183055400,112.68,112.86,109.16
342,2020-09-21,110.08,195713800,104.54,110.19,103.1
343,2020-09-18,106.84,287104900,110.4,110.88,106.09
344,2020-09-17,110.34,178011000,109.72,112.2,108.71
345,2020-09-16,112.13,155026700,115.23,116.0,112.04
346,2020-09-15,115.54,184642000,118.33,118.829,113.61
347,2020-09-14,115.355,140150100,114.72,115.93,112.8
348,2020-09-11,112.0,180860300,114.57,115.23,110.0
349,2020-09-10,113.49,182274400,120.36,120.5,112.5
350,2020-09-09,117.32,176940500,117.26,119.14,115.26
351,2020-09-08,112.82,231366600,113.95,118.99,112.68
352,2020-09-04,120.96,332607200,120.07,123.7,110.89
353,2020-09-03,120.88,257599600,126.91,128.84,120.5
354,2020-09-02,131.4,200119000,137.59,137.98,127.0
355,2020-09-01,134.18,152470100,132.76,134.8,130.53
356,2020-08-31,129.04,225702700,127.58,131.0,126.0
357,2020-08-28,124.8075,187629920,126.0125,126.4425,124.5775
358,2020-08-27,125.01,155552400,127.1425,127.485,123.8325
359,2020-08-26,126.5225,163022280,126.1793,126.9925,125.0825
360,2020-08-25,124.825,211495800,124.6975,125.1793,123.0525
361,2020-08-24,125.8575,345937760,128.6975,128.785,123.9363
362,2020-08-21,124.37,338054640,119.2625,124.868,119.25
363,2020-08-20,118.275,126907200,115.75,118.392,115.7334
364,2020-08-19,115.7075,145538000,115.9833,117.1625,115.61
365,2020-08-18,115.5625,105633560,114.3525,116.0,114.0075
366,2020-08-17,114.6075,119561440,116.0625,116.0875,113.9625
367,2020-08-14,114.9075,165565200,114.8288,115.0,113.045
368,2020-08-13,115.01,210082080,114.43,116.0425,113.9275
369,2020-08-12,113.01,165944840,110.4975,113.275,110.2975
370,2020-08-11,109.375,187902360,111.9688,112.4825,109.1067
371,2020-08-10,112.7275,212403440,112.6,113.775,110.0
372,2020-08-07,111.1125,198045600,113.205,113.675,110.2925
373,2020-08-06,113.9025,202428920,110.405,114.4125,109.7975
374,2020-08-05,110.0625,121991960,109.3775,110.3925,108.8975
375,2020-08-04,109.665,172792360,109.1325,110.79,108.3875
376,2020-08-03,108.9375,308151400,108.2,111.6364,107.8925
377,2020-07-31,106.26,374295480,102.8838,106.415,100.825
378,2020-07-30,96.19,158130040,94.1875,96.2975,93.7675
379,2020-07-29,95.04,90329240,93.75,95.23,93.7125
380,2020-07-28,93.2525,103625520,94.3675,94.5497,93.2475
381,2020-07-27,94.81,121214200,93.71,94.905,93.48
382,2020-07-24,92.615,185438880,90.9875,92.97,89.145
383,2020-07-23,92.845,197004440,96.9985,97.0775,92.0097
384,2020-07-22,97.2725,89001640,96.6925,97.975,96.6025
385,2020-07-21,97.0,103645840,99.1725,99.25,96.7425
386,2020-07-20,98.3575,90317920,96.4163,98.5,96.0625
387,2020-07-17,96.3275,92186920,96.9875,97.1475,95.84
388,2020-07-16,96.5225,110577680,96.5625,97.405,95.905
389,2020-07-15,97.725,153197920,98.99,99.2475,96.49
390,2020-07-14,97.0575,170989360,94.84,97.255,93.8775
391,2020-07-13,95.4775,191649160,97.265,99.955,95.2575
392,2020-07-10,95.92,90257320,95.335,95.98,94.7052
393,2020-07-09,95.6825,125642600,96.2625,96.3175,94.6725
